payout date,payout paypal id,payout paid to,item date,item type,description,upc,isrc,bandcamp id,fees,paid to you,buyer country,VATable total for EU physical sales,tax withholding,collection society share
2025-10-01 06:06:45 UTC,1MU57925G2487725F,finance@dark-tunes.com,2025-09-29 13:32:51 UTC,digital,Sad living + Sad mind,,,2489704638,0.70,8.30,DE,,,
2025-10-01 06:06:45 UTC,1MU57925G2487725F,finance@dark-tunes.com,2025-10-01 06:06:45 UTC,payout fee,,,,,-0.08,-0.08,,,,
2025-10-02 05:58:33 UTC,55U444826E643012K,finance@dark-tunes.com,2025-09-30 17:39:50 UTC,digital,Daydreams and Nightmares,887936736872,,3598655379,0.47,7.61,GB,,,3.30
2025-10-02 05:58:33 UTC,55U444826E643012K,finance@dark-tunes.com,2025-09-30 17:39:50 UTC,digital,Deranged,,,3598655379,0.47,7.61,GB,,,3.30
2025-10-02 05:58:33 UTC,55U444826E643012K,finance@dark-tunes.com,2025-09-30 17:39:50 UTC,digital,Psychosis,,,3598655379,0.47,7.61,GB,,,3.30
2025-10-02 05:58:33 UTC,55U444826E643012K,finance@dark-tunes.com,2025-10-02 05:58:33 UTC,payout fee,,,,,-0.23,-0.23,,,,
2025-10-02 05:58:36 UTC,3JK54051PK506141C,finance@dark-tunes.com,2025-10-01 04:14:23 UTC,digital,Some Dead,4260363820721,,2107920538,0.13,1.22,US,,,
2025-10-02 05:58:36 UTC,3JK54051PK506141C,finance@dark-tunes.com,2025-10-01 01:02:25 UTC,digital,See my Face,4260363820417,,310406806,0.10,1.26,US,,,
2025-10-02 05:58:36 UTC,3JK54051PK506141C,finance@dark-tunes.com,2025-10-01 01:02:25 UTC,digital,GODSLAYER,4260363820820,,310406806,0.10,1.25,US,,,
2025-10-02 05:58:36 UTC,3JK54051PK506141C,finance@dark-tunes.com,2025-10-01 01:02:25 UTC,digital,Open Your Eyes,4260363817998,,310406806,0.09,1.25,US,,,
2025-10-02 05:58:36 UTC,3JK54051PK506141C,finance@dark-tunes.com,2025-09-30 20:43:33 UTC,digital,Ashes,4260363820813,,3983270278,0.16,1.02,AT,,,0.17
2025-10-02 05:58:36 UTC,3JK54051PK506141C,finance@dark-tunes.com,2025-10-02 05:58:36 UTC,payout fee,,,,,-0.06,-0.06,,,,
2025-10-03 05:58:12 UTC,5ML72018HW5293455,finance@dark-tunes.com,2025-10-01 21:10:18 UTC,digital,Cyberghost (C-Lekktor Remix),4260363821117,,2084299082,0.14,1.04,MX,,,0.17
