DATE,ORDER NUMBER,BAND,NET REVENUE
Q4 2025 - Q1 2026,1005,SMASH HIT COMBO,5
Q4 2025 - Q1 2026,1006,EXTIZE,4
Q4 2025 - Q1 2026,1007,THE SILVERBLACK,8
Q4 2025 - Q1 2026,1008,darkmerch,
Q4 2025 - Q1 2026,1009,darkmerch,
Q4 2025 - Q1 2026,1010,OMNIMAR,8
Q4 2025 - Q1 2026,1011,BLACKBOOK,6
Q4 2025 - Q1 2026,1012,darkmerch,
Q4 2025 - Q1 2026,1013,EXTIZE,2
Q4 2025 - Q1 2026,1014,VIOFLESH,3
Q4 2025 - Q1 2026,1015,VIOFLESH,2
Q4 2025 - Q1 2026,1016,AUGER,2
Q4 2025 - Q1 2026,1017,CIRCUIT PREACHER,2
Q4 2025 - Q1 2026,1018,darktunes,
Q4 2025 - Q1 2026,1019,VIOFLESH,2
Q4 2025 - Q1 2026,1020,CATTAC,3
Q4 2025 - Q1 2026,1021,OMNIMAR,3
Q4 2025 - Q1 2026,1022,CATTAC,2
Q4 2025 - Q1 2026,1023,LOGICAL TERROR,3
Q4 2025 - Q1 2026,1024,BLACKBOOK,2
Q4 2025 - Q1 2026,1025,VIOFLESH,2
Q4 2025 - Q1 2026,1026,OMNIMAR,2
Q4 2025 - Q1 2026,1027,CATTAC,2
Q4 2025 - Q1 2026,1028,OMNIMAR,5
Q4 2025 - Q1 2026,1029,BLACKBOOK,5
Q4 2025 - Q1 2026,1030,VIOFLESH,2
Q4 2025 - Q1 2026,1031,EXTIZE,2
Q4 2025 - Q1 2026,1032,OMNIMAR,4
Q4 2025 - Q1 2026,1033,EXTIZE,10
Q4 2025 - Q1 2026,1034,CATTAC,7
Q4 2025 - Q1 2026,1035,CATTAC,2
Q4 2025 - Q1 2026,1036,BLACKBOOK,2
Q4 2025 - Q1 2026,1037,CIRCUIT PREACHER,2
Q4 2025 - Q1 2026,1038,EXTIZE,20
Q4 2025 - Q1 2026,1039,BLACKBOOK,3
Q4 2025 - Q1 2026,1040,darkmerch,
Q4 2025 - Q1 2026,1041,CATTAC,2
Q4 2025 - Q1 2026,1042,VIOFLESH,2
Q4 2025 - Q1 2026,1043,H.EXE,8
Q4 2025 - Q1 2026,1044,OMNIMAR,6
Q4 2025 - Q1 2026,1045,H.EXE,8
Q4 2025 - Q1 2026,1046,DEAD LIGHTS,2
Q4 2025 - Q1 2026,1047,H.EXE,8
Q4 2025 - Q1 2026,1048,H.EXE,8
Q4 2025 - Q1 2026,1049,H.EXE,8
Q4 2025 - Q1 2026,1050,CZARINA,15
Q4 2025 - Q1 2026,1051,CIRCUIT PREACHER,2
Q4 2025 - Q1 2026,1052,BLACKBOOK,2
Q4 2025 - Q1 2026,1053,CATTAC,3
Q4 2025 - Q1 2026,1054,HER OWN WORLD,8
Q4 2025 - Q1 2026,1055,EXTIZE,15
Q4 2025 - Q1 2026,1056,ANTIBODY,2
Q4 2025 - Q1 2026,1057,VIOFLESH,3
Q4 2025 - Q1 2026,1058,VIOFLESH,2
Q4 2025 - Q1 2026,1059,BLACKBOOK,2
Q4 2025 - Q1 2026,1060,DANCE MY DARLING,2
Q4 2025 - Q1 2026,1061,BLACKBOOK,2
Q4 2025 - Q1 2026,1062,BLACKBOOK ,4
Q4 2025 - Q1 2026,1063,BLACKBOOK,18
Q4 2025 - Q1 2026,1064,BLACKBOOK,2
Q4 2025 - Q1 2026,1065,BLACKBOOK,7
Q4 2025 - Q1 2026,1066,BLACKBOOK,7
Q4 2025 - Q1 2026,1067,BLACKBOOK,7
Q4 2025 - Q1 2026,1068,BLACKBOOK,5
Q4 2025 - Q1 2026,1069,BLACKBOOK,5
Q4 2025 - Q1 2026,1070,BLACKBOOK,2
Q4 2025 - Q1 2026,1071,BLACKBOOK,3
Q4 2025 - Q1 2026,1072,BLACKBOOK,5
Q4 2025 - Q1 2026,1073,BLACKBOOK,7
Q4 2025 - Q1 2026,1074,BLACKBOOK,5
Q4 2025 - Q1 2026,1075,BLACKBOOK,6
Q4 2025 - Q1 2026,1076,BLACKBOOK,6
Q4 2025 - Q1 2026,1077,BLACKBOOK,5
Q4 2025 - Q1 2026,1078,BLACKBOOK,7
Q4 2025 - Q1 2026,1079,BLACKBOOK,4
Q4 2025 - Q1 2026,1080,BLACKBOOK,5
Q4 2025 - Q1 2026,1081,BLACKBOOK,3
Q4 2025 - Q1 2026,1082,BLACKBOOK,3
Q4 2025 - Q1 2026,1083,darkmerch,
Q4 2025 - Q1 2026,1084,BLACKBOOK,2
Q4 2025 - Q1 2026,1085,BLACKBOOK,2
Q4 2025 - Q1 2026,1086,BLACKBOOK,5
Q4 2025 - Q1 2026,1087,BLACKBOOK,4
Q4 2025 - Q1 2026,1088,BLACKBOOK,7
Q4 2025 - Q1 2026,1089,BLACKBOOK,4
Q4 2025 - Q1 2026,1090,BLACKBOOK,5
Q4 2025 - Q1 2026,1091,BLACKBOOK,4
Q4 2025 - Q1 2026,1092,BLACKBOOK,2
Q4 2025 - Q1 2026,1093,H.EXE,8
Q4 2025 - Q1 2026,1094,BLACKBOOK,12
Q4 2025 - Q1 2026,1095,BLACKBOOK,9
Q4 2025 - Q1 2026,1096,BLACKBOOK,7
Q4 2025 - Q1 2026,1097,BLACKBOOK,4
Q4 2025 - Q1 2026,1098,BLACKBOOK,2
Q4 2025 - Q1 2026,1099,BLACKBOOK,3
Q4 2025 - Q1 2026,1100,BLACKBOOK,4
Q4 2025 - Q1 2026,1101,BLACKBOOK,5
Q4 2025 - Q1 2026,1102,BLACKBOOK,2
Q4 2025 - Q1 2026,1103,BLACKBOOK,4
Q4 2025 - Q1 2026,1104,BLACKBOOK,3
Q4 2025 - Q1 2026,1105,BLACKBOOK,5
Q4 2025 - Q1 2026,1106,OMNIMAR,2
Q4 2025 - Q1 2026,1107,BLACKBOOK,2
Q4 2025 - Q1 2026,1108,BLACKBOOK,5
Q4 2025 - Q1 2026,1109,BLACKBOOK,2
Q4 2025 - Q1 2026,1110,BLACKBOOK,2
Q4 2025 - Q1 2026,1111,BLACKBOOK,4
Q4 2025 - Q1 2026,1112,BLACKBOOK,4
Q4 2025 - Q1 2026,1113,BLACKBOOK,5
Q4 2025 - Q1 2026,1114,BLACKBOOK,3
Q4 2025 - Q1 2026,1115,BLACKBOOK,2
Q4 2025 - Q1 2026,1116,BLACKBOOK,3
Q4 2025 - Q1 2026,1117,BLACKBOOK,4
Q4 2025 - Q1 2026,1118,darkmerch,
Q4 2025 - Q1 2026,1119,BLACKBOOK,7
Q4 2025 - Q1 2026,1120,VIOFLESH,2
Q4 2025 - Q1 2026,1121,BLACKBOOK,4
Q4 2025 - Q1 2026,1122,BLACKBOOK,4
Q4 2025 - Q1 2026,1123,BLACKBOOK,2
Q4 2025 - Q1 2026,1124,OMNIMAR,2
Q4 2025 - Q1 2026,1125,CZARINA,15
Q4 2025 - Q1 2026,1126,CIRCUIT PREACHER,2
Q4 2025 - Q1 2026,1127,CIRCUIT PREACHER,2
Q4 2025 - Q1 2026,1128,BLACKBOOK,14
Q4 2025 - Q1 2026,1129,BLACKBOOK,2
Q4 2025 - Q1 2026,1130,BLACKBOOK,2
Q4 2025 - Q1 2026,1131,BLACKBOOK,5
Q4 2025 - Q1 2026,1132,BLACKBOOK,4
Q4 2025 - Q1 2026,1133,EXTIZE,2
Q4 2025 - Q1 2026,1134,BLACKBOOK,2
Q4 2025 - Q1 2026,1135,CATTAC,2
Q4 2025 - Q1 2026,1136,BLACKBOOK,3
Q4 2025 - Q1 2026,1137,EXTIZE,4
Q4 2025 - Q1 2026,1138,BLACKBOOK,2
Q4 2025 - Q1 2026,1139,darkmerch,
Q4 2025 - Q1 2026,1140,OMNIMAR,14
Q4 2025 - Q1 2026,1141,darkmerch,
Q4 2025 - Q1 2026,1142,OMNIMAR,6
Q4 2025 - Q1 2026,1143,THE ORIGINAL SIN,2
Q4 2025 - Q1 2026,1144,NEUROKLAST,18
Q4 2025 - Q1 2026,1145,NEUROKLAST,18
Q4 2025 - Q1 2026,1146,SYNTHATTACK,3
Q4 2025 - Q1 2026,1147,NEUROKLAST,18
Q4 2025 - Q1 2026,1148,NEUROKLAST,18
