name,email,vatNumber,isEuNonGerman,notes
"Aevum","","",true,"Italy | Symphonic Gothic Metal"
"Agnis","","",false,"Germany | Industrial Metal"
"Amore Ad Lunam","","",false,"Germany | Dark Pop / Electronic"
"Antibody","","",false,"Germany | Harsh Electro / TBM"
"Ashes'N'Android","","",false,"Germany | Synthpop / TBM"
"Apnoie","","",true,"France | Dark Electro"
"Auger","","",false,"UK | Darkwave / Melodic Rock"
"Balduvian Bears","","",false,"USA | Electro / Industrial"
"Basscalate","","",false,"Germany | Dark Techno / EBM"
"Basszilla","","",false,"Germany | Industrial Bass / Dubstep"
"Binary Division","","",false,"Germany | Synthpop / EBM"
"Blackbook","","",true,"Switzerland / Netherlands | Indie Pop / New Wave"
"Breed Machine","","",true,"France | Nu Metal / Hardcore"
"C Z A R I N A","","",false,"USA | Progressive Darkwave"
"Cattac","","",false,"Germany | Dark Rock / Goth"
"Cernunnos","","",false,"Argentina | Folk"
"Chabtan","","",true,"France | Death Metal / Mayan Metal"
"Circuit Preacher","","",false,"Germany | Industrial Rock"
"Dance My Darling","","",false,"Russia | Gothic Pop / Synthwave"
"Darkcell","","",false,"Australia | Industrial Rock"
"Dead Lights","","",false,"UK / Netherlands | Industrial Pop"
"Dust In Mind","","",true,"France | Modern Metal"
"Extize","","",false,"Germany | Cyberpunk / Industrial"
"Fallcie","","",false,"Russia | Female Fronted Metal"
"Fourth Circle","","",true,"France | Symphonic Metal"
"Freak Injection","","",true,"France | Electro Rock / Glitch"
"Freaky Mind","","",false,"Russia | Aggrotech / Electro"
"Frozen Plasma","","",false,"Germany | Futurepop / Synthpop"
"H.EXE","","",true,"Poland | Dark Electro / Industrial Metal"
"Her Own World","","",false,"Germany | Darkwave / Industrial"
"Kami No Ikari","","",true,"France | Death Metal"
"Kyunaa","","",false,"Germany | Dark Pop"
"Lamori","","",false,"Sweden | Gothic Metal"
"Logical Terror","","",true,"Italy | Modern Metal"
"Minimum Viable Produkt","","",false,"USA | EBM"
"Misscore","","",true,"Poland | Modern Metal"
"Morgenstern","","",false,"Germany | Neue Deutsche Härte"
"Mortes","","",false,"Germany | Dark Wave / Gothic"
"Moyra","","",true,"Poland | Melodic Death Metal"
"Neuroklast","","",false,"Germany | Industrial / Aggrotech"
"Ocean Dark","","",false,"Germany | Dark Metal"
"Octo Crura","","",true,"Italy | Dark Ritual / Gothic"
"Omnimar","","",false,"Russia | Dark Pop"
"Pzytechz","","",false,"Germany | Dark Electro"
"Reaper","","",false,"Germany | Dark Electro"
"Sickret","","",false,"Switzerland | Nu Metal"
"Smash Hit Combo","","",false,"France | Nu Metal"
"Stoneman","","",false,"Switzerland | NDH"
"SynthAttack","","",false,"Germany | Dark Electro / EBM"
"T3rr0r 3rr0r","","",false,"Spain | Dark Electro / EBM"
"The Black Capes","","",true,"Greece | Gothic Rock"
"The Original Sin","","",false,"Germany | Dark Metal"
"The Silverblack","","",true,"Italy | Industrial Metal"
"Toal","","",false,"Germany | Dark Ambient / New Wave"
"Vioflesh","","",false,"Germany | Dark Pop / Synthpop"
"White Ritual","","",false,"Germany | Modern Metal"
"Yuzna","","",false,"Italy | punk rock"
